CODIGOS,ABEV3,BTOW3,B3SA3,BBSE3,BRML3,BBDC3,BBDC4,BRAP4,BBAS3,BRKM5,BRFS3,CCRO3,CMIG4,HGTX3,CIEL3,COGN3,CSAN3,CVCB3,CYRE3,ECOR3,ELET3,ELET6,EMBR3,ENBR3,EGIE3,EQTL3,FLRY3,GGBR4,GOAU4,GOLL4,NTCO3,HYPE3,IGTA3,ITSA4,ITUB4,JBSS3,KLBN11,RENT3,LAME4,LREN3,MGLU3,MRFG3,MRVE3,MULT3,PETR3,PETR4,QUAL3,RADL3,SBSP3,SANB11,CSNA3,SMLS3,SULA11,TAEE11,VIVT4,TIMP3,TOTS3,UGPA3,USIM5,VALE3,WEGE3,YDUQ3,IBOV
04/01/2016,15.23864903,13.987376265,9.3534777718,15.727819941,6.7155141549,10.622877548,9.9285037408,3.9998013117,11.904292551,22.104566527,53.418468449,10.092728442,4.2992751296,11.604707167,18.083943215,8.5252445346,20.75824431,11.611680755,6.0680417821,4.1246660689,5.2921334102,8.8040566374,28.479853713,9.0382026287,19.812275953,6.211730162,6.2819592357,4.2978290285,1.4987198459,2.41,11.27867026,17.634527745,16.888860226,3.8639145731,11.629679134,11.409953619,18.498487808,6.6498092807,15.229829905,12.558575709,0.27439839818,6.23,5.6264885355,11.694106191,8.4439404893,6.3794744994,9.5256309781,33.92230585,16.4110549,11.94840866,3.6030895524,26.721030684,14.290686328,10.664182529,26.963105667,6.1336504689,28.822854498,25.723800129,1.4053484598,11.309560472,10.386658254,11.094801028,42141
05/01/2016,15.477721386,14.190091863,9.711505629,16.733628839,6.7031581031,10.705643556,9.9645827535,4.0423523895,11.946091331,21.150236533,54.433242011,10.350238385,4.1777408504,11.221955422,18.948558941,8.3261411591,20.862035531,11.602413651,6.3431041156,4.0641363781,5.4090866347,8.884093516,28.479853713,9.5113649669,20.04885855,6.5129049577,6.3561069513,4.0990307695,1.3769488584,2.25,11.397593397,17.843566718,16.953568503,3.9283131494,11.726863083,10.841823149,18.447899419,6.8149865561,15.339831091,13.452839614,0.27715002557,5.95,5.7345603441,11.883874874,8.2296767168,6.2030407069,9.781957048,35.504574951,16.59189297,11.768978632,3.4257354034,24.264273039,14.540851516,10.499102304,27.054248559,6.088483676,28.681980331,26.314329106,1.2898403672,11.158053357,10.8903828,9.9454115692,42419
06/01/2016,15.327194347,14.267316853,9.7025549326,16.6027359,6.6290217923,10.516163139,9.8233524468,3.7615152761,11.946091331,22.634749857,53.349503256,10.209023255,3.9650558616,11.417403122,19.240507108,8.4799937674,20.464169182,11.268797923,6.101382671,4.1506073649,5.3116256143,9.0174883135,28.071888551,9.575522572,19.751613749,6.5505518072,6.323152411,3.7677003378,1.1989758767,2,11.535544235,17.943905425,17.184669491,3.9634396455,11.680585012,9.8475948254,18.498487808,6.8776400055,15.201634415,13.375077535,0.25314971999,5.92,5.5994705834,11.883874874,7.8498454837,5.9430330126,9.7334629267,35.83260635,16.049378759,11.49983359,3.1550369655,24.127786503,14.470492557,10.532118349,26.507391205,6.0794503175,29.395742775,26.126433522,1.1743322746,10.338132504,10.642067883,10.791489921,41773
07/01/2016,14.91988589,13.813620038,9.2997735932,15.948271206,6.6043096887,10.179309064,9.6245838669,3.5232292405,11.661859627,22.022999861,51.250990939,9.5943220993,3.7447749804,11.401115814,19.31349415,8.3894922331,20.239288202,11.222462406,6.1347235599,3.9257827993,5.0484808591,8.8040566374,27.459940807,8.9820647242,19.290580995,6.3698469298,6.3313910461,3.59730183,1.1240398844,1.87,11.083636317,17.651250863,16.898104266,3.9048954853,11.458450273,10.415725296,17.832407345,6.8349217446,14.827690467,13.157343715,0.21951871855,5.67,5.5724526312,11.572778673,7.6258424488,5.8130291654,9.5256309781,36.295709502,15.02764366,11.181753087,3.0803615344,24.082290991,13.81380894,10.182148272,25.687105173,5.9258832218,28.625630664,25.075112995,1.1069525539,9.7231918637,10.33699527,10.735616822,40694
08/01/2016,15.114685587,14.180438739,9.4161326468,16.251391696,6.6599119218,10.158255684,9.4362767913,3.4806781627,11.661859627,22.080096527,52.236207989,9.5527882374,3.5700694539,11.205668114,19.65035742,7.9188842545,20.239288202,11.25953082,6.2514166711,3.7355466284,4.9120354304,8.5194810694,27.55707537,9.3028527501,19.017601076,6.4564346835,6.3561069513,3.720367419,1.1708748796,1.79,10.812491566,17.642889304,17.147693333,3.9048954853,11.46307808,10.605102119,17.520445609,6.8349217446,14.925241062,13.126238883,0.22043592768,5.9,5.5792071192,11.650552723,7.6550602359,5.8223151545,9.4702091251,36.006270032,15.20848173,11.181753087,3.1923746811,23.301284702,13.899803223,10.617960066,25.201009747,5.6006823133,28.691371942,25.477746388,1.1358295771,9.3934410855,10.287332287,10.097067122,40612
11/01/2016,14.875613231,13.572291945,9.3982312539,15.741598145,6.7031581031,9.9635119231,9.1695084341,3.3445147138,11.327469387,22.642906524,51.014538847,9.4448001965,3.6156448087,11.059082339,18.723983428,7.8736334874,20.273885276,11.454139995,6.2430814489,3.7441937271,4.8730510223,8.1993335553,27.450227351,9.3349315526,19.047932178,6.4451406287,6.3190330935,3.5783686625,1.1427738825,1.69,10.788706938,17.542550597,17.40652644,3.8580601571,11.328871676,10.813416625,16.652011587,6.8463132808,15.006533224,12.752980905,0.22043592768,6,5.6805244398,11.958537962,7.3823608891,5.655167351,9.8027402429,35.95803012,15.597283582,11.206220818,3.1457025367,22.262470513,13.563643752,10.730214619,25.22379547,5.4200151419,27.019665164,24.806690733,1.1550809258,9.1260755898,10.053206793,10.376432616,39950
12/01/2016,15.034994802,13.94876377,9.3355763789,16.003384023,6.5795975851,10.031935407,9.1172009131,3.0551673849,10.934560855,21.713046529,49.526861102,9.718923685,3.6840078408,10.586750398,18.791356082,7.6202291912,19.192726718,11.583879444,6.28475756,3.8220176152,4.9997503488,8.3505143258,28.071888551,9.2868133488,19.114660603,6.4903168481,6.1872149325,3.4742362411,1.1053058864,1.61,10.850546969,18.102775044,17.193913531,3.811224829,11.379777553,10.510413707,16.862796544,6.430522208,14.713881439,13.048476805,0.20790073623,5.84,5.8021052245,11.883874874,6.8174836707,5.1351519624,9.8304511694,36.517613095,15.958959723,11.344871294,3.0616926766,22.89940768,13.743449981,10.683992156,25.14784306,5.4832486519,27.940043053,24.981165203,1.1069525539,8.3863643847,10.500173645,10.01724841,39513
13/01/2016,14.902176826,13.900498152,9.317674986,15.872491084,6.7031581031,9.9950919926,8.9864321105,2.8594324271,10.73392671,21.199176533,48.847061337,9.6856965955,3.5624735615,10.920640219,18.437649648,7.3939753554,19.893317464,11.38927027,6.3264336712,3.7009582337,4.9217815325,8.1815475823,27.440513895,8.9820647242,19.017601076,6.5129049577,6.1995728851,3.2470382308,1.021002895,1.44,10.845790044,18.144582838,17.332574124,3.822933661,11.203920885,10.283161519,16.567697604,6.4675447008,14.713881439,13.095134052,0.20652492253,5.73,5.6737699518,11.983425658,6.622698423,4.8937162463,9.7334629267,36.488669148,16.383929189,11.238844459,2.9870172455,22.019827783,13.680908684,10.730214619,25.269366916,5.4651819347,28.127875275,24.609847741,0.99144446134,8.0209648738,10.109964489,9.9773390542,38944
14/01/2016,14.91988589,13.591598193,9.5145903075,16.396062839,6.9193890097,10.105622235,9.2584312198,2.9785754449,11.335829143,20.55479987,48.778096144,9.6773898231,3.5093023143,10.603037707,18.30290434,7.7740817996,19.997108685,11.593146548,6.20974056,3.6317814443,4.824320512,8.1192966768,27.304525508,9.0301829281,18.653627849,6.3717292722,6.1995728851,3.3417040684,1.0491038922,1.31,10.822005416,17.726504893,17.591407231,3.8404969091,11.365894132,10.084315854,16.753188366,6.5814600632,14.965887143,13.009595765,0.21691995934,5.77,5.6737699518,12.058088746,7.0414867056,5.2837277877,9.691896537,36.758812653,16.483390128,10.994167149,3.0803615344,21.762019882,13.774720629,10.809453127,25.618748004,5.5555155204,27.893084998,25.128797447,1.0010701357,8.6002567814,10.117059201,9.9613753117,39500
15/01/2016,14.689668066,13.340616976,9.317674986,15.707152635,6.9441011133,9.6687646079,9.0230473752,2.8934732893,10.901121831,20.50585987,47.339679251,9.3866527898,3.4181516048,10.831060023,18.392734545,7.7107307256,19.720332094,11.324400545,6.0430361154,3.5193691615,4.8827971243,8.1548686228,26.226331864,9.0382026287,18.047005805,6.2587887238,6.1789762974,3.2659713983,1.0303698941,1.27,10.822005416,17.534189038,18.025877089,3.7760983328,11.06971448,9.8097194607,16.652011587,6.3735645268,14.681364574,12.900728855,0.2201301913,5.6,5.6062250714,12.086087404,6.5350450615,4.8008563555,9.6226192208,36.807052565,16.004169241,10.643463004,2.9590139588,21.003761349,13.493284793,10.334022079,24.950366793,5.3658149905,27.23567222,24.963270386,0.92406474067,8.3507156519,10.017733234,9.8177016293,38569
18/01/2016,14.379759457,12.790388924,9.3087242896,15.328252023,6.7834724398,9.6161311587,8.9445860937,2.8679426426,10.834243783,19.991989874,46.039192745,9.2205173422,3.4181516048,10.643755977,18.325361891,7.5025771966,19.218674523,11.481941305,5.9430134487,3.4588394708,4.9120354304,8.0214738252,26.148624214,9.0301829281,18.204727537,6.2606710663,5.9812490559,3.3322374847,1.0303698941,1.3,10.779193087,17.350234742,17.933436693,3.7585350848,10.940135883,10.150597743,16.432795232,6.239713976,15.120342252,12.488589838,0.21707282753,5.6,5.5116622389,12.039422974,6.1357353036,4.4572747594,9.0060511066,35.745774509,17.116323375,10.602683452,2.9870172455,21.003761349,13.086766364,10.301006034,24.532628536,5.2032145362,27.40472122,24.314583252,0.98181878696,7.9229308587,9.9042178435,9.346771226,37937
19/01/2016,14.831340573,13.27304511,9.4250833432,15.631372513,6.9811692687,9.600341124,9.0073551189,2.8764528582,10.73392671,19.983833207,46.452983906,9.5943220993,3.2586378633,9.9678326831,18.246760462,7.5478279637,19.114883302,11.509742616,6.0847122265,3.2599562012,4.8633049202,7.7546842302,26.634297027,8.8457298132,18.441310134,6.2587887238,6.1789762974,3.2565048146,0.98353489889,1.27,10.465236007,17.475658126,17.914948614,3.7175541726,10.829068513,9.9233455548,16.761619764,6.2083872513,14.949628711,12.784085737,0.21248678188,5.6,5.5116622389,12.098531252,5.9896463678,4.3272709123,8.7220141101,36.334301431,17.270035735,10.839204852,3.0616926766,21.868176076,13.133672337,10.400054169,24.866819142,5.3567816319,28.005784331,24.471162905,0.97219311258,8.1813841713,9.9822596746,9.3068618697,38057
20/01/2016,14.645395407,12.44287647,9.1744638431,15.803600064,6.7464042844,9.6582379181,9.0282781273,2.7232689782,10.633609638,20.269316539,46.305201349,9.1872902527,3.304213218,9.9922636455,18.241146074,7.4211258157,19.564645262,11.491208409,6.0180304487,3.1388968197,4.8633049202,7.6301824191,26.129197302,8.7334540041,18.332118166,6.2399652991,6.0965899468,3.2186384795,0.96480090082,1.28,10.17982048,17.183003564,17.924192654,3.6765732605,10.676350881,9.9706897607,16.508677816,6.0147311352,14.388712788,12.752980905,0.21095809999,5.48,5.4711353106,12.073643556,5.7753825953,4.1136931634,8.6527367939,35.273023375,17.179616699,10.700554376,3.0056861033,20.328911255,12.81314819,9.970845585,24.844033419,5.4832486519,27.23567222,24.50695254,0.98181878696,8.2081207209,9.8403654362,9.0993332174,37645
21/01/2016,14.45059571,12.67455144,9.0223020038,14.963129616,6.8143625693,9.7108713672,8.8975093248,2.6551872537,10.625249882,20.081713206,46.305201349,9.1208360736,3.3194050029,10.065556532,18.246760462,7.2853735142,19.547346725,11.630214962,6.0847122265,3.0091903396,4.9022893284,7.7368982571,26.31375297,8.4527644815,18.319985725,6.3623175599,5.989487691,3.1334392256,0.92733290467,1.18,10.132251225,17.559273715,17.748555903,3.6882820925,10.699489916,10.415725296,16.921816332,5.9264467293,14.339937491,12.869624024,0.20942941811,5.62,5.5927160953,12.06431067,6.1259960412,4.178695087,8.7912914263,36.479021166,16.953569111,10.692398466,3.0990303922,20.154511793,12.508259368,10.168941854,24.935176311,5.5193820862,26.653392331,24.668005897,0.94331608943,8.1457354385,10.280237575,8.8997864363,37717
22/01/2016,14.91988589,12.587673326,8.986499218,15.142246268,6.6722679736,9.7371880918,9.0805856483,2.6722076848,10.867682807,19.54337321,46.305201349,9.2537444317,3.3953639275,10.366871736,18.218688523,7.0048187577,20.282534544,11.954563587,6.0096952265,2.9400135502,5.0679730632,7.6657543651,27.110256383,8.7414737048,18.683958952,6.4394936013,5.9112206579,3.1429058094,0.92733290467,1.16,10.274958989,17.893736071,18.118317484,3.7468262527,10.801301671,10.074847013,17.031424509,5.8353144394,14.404971221,12.986267142,0.19490694021,5.85,5.8088597125,12.194971075,6.0480819421,4.0951211852,8.8328578161,37.49205931,17.622669972,10.651618914,3.2203779678,20.54880623,12.390994437,10.234973944,25.785843307,5.5735822376,26.860007775,25.625378633,0.96256743819,8.0477014234,10.464700085,8.7800583677,38031
25/01/2016,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
